"Missing?","GARDENID","2002 Settlement Decision","Current Name","Address","Fixed Address","Borough","Latitude","Longitude","Zip","Geocode Accuracy","Boro","CB","CD","Neighborhood","CrossStreets","YearFounded","Open_Hours","Approximate area or dimensions of garden (for example, 25 ft. x 100 ft or 2500 sq. ft.):","Garden Website","Languages_Spoken","Membership","NumberOfMembers","Waiting_List","Dues","Description","DescripSource","BeforeTheGarden","Land Jurisdiction","Grows Food","PercentEdible","Used by growers","Donated","Sold","Sold at a Market","OtherFoodUse","Tomato","Onion","Radish","Summer Squash","Winter Squash","Cucumber","Broccoli","Bitter Melon","Beet","Honeydew","Cantaloupe","Sweet Peppers","Jalapeño","Habañero","Cayenne","Turnip","Pumpkin","Carrot","Garlic","Parsnip","Potato","Artichoke","Asparagus","Cabbage","Brussell Sprouts","Cauliflower","Celery","Beans","Eggplant","Peas","Scallion","Hardy Kiwi","Grape","Currant","Elderberry","Blackberry","Gooseberry","Strawberry","Blueberry","Rhubarb","Watermelon","Raspberry","Corn","OtherVeggie","Amaranth","Arugula","Bok Choy","Chard","Collard","Endive","Kale","Lamb's Quarters","Lettuce","Mache","Spinach","Mesclun","Other (please specify)","Peach","Cherry","Apple","Apricot","Nectarine","Mulberry","Plum","Fig","Pear","Crabapple","OtherFruitTree","Basil","Chamomile","Chive","Comfrey","Cilantro","Dill","Echinacea","Epazote","Fennel","Horseradish","Lavender","Lemongrass","Lleva buena","Marjoram","Mint","Oregano","Parsley","Sage","Thyme","OtherHerb","Shade Trees","Ornamental Plantings and Flowers","Botanical Garden","Shrubs","Native Plant Garden","Water Garden","OtherNonEdible","CurrentCompost","PastCompost","FutureCompost","CompostNotes","CompostGardenMembersOnly","CompostGardenMembers & neighborhood residents","CompostPublic","CompostParticipationNotes","Toolshed","Greenhouse or Hoop House","Chicken Coop","Seating Area","Gazebo/Casita","Educational Signs","Raised Beds","Rainwater Catchment System","Pathways","Grill","Playground","Mural","Table(s)","Sculpture(s)","Stage","CompostingToilet","OtherStructures","Fence","OtherFence","Pond","Water Pump","Fish","Other Aquatic Life","OtherWaterBody","ConstructionNotes","Workshops","Arts & Crafts","Movies","Picnics","Performance","Educational Events","Barbecues","Concerts","Sports","Religious Activities","Private Events","Farmers' Markets","NoEvents","OtherEvents","CanRent","Members only (no non-members can rent garden)","Members and non-members can rent","Reservation only","Reservation & rental fee","InformalRent","If there is a rental fee, please indicate flat/hourly rate:","PartnersWSchool","Please list any partnering schools:","School garden/plot","School Educational events","School Regular visits by classes","In-school workshops","School Nothing yet, but we would like to","SchoolNotes","PartnersWCommGrp","Comm Garden workshops","Comm Off-site workshops","Comm Educational events","Comm Nothing yet, but we would like to","CommOther","PartnerGroup","HostsVolunteers","RandomNotes"
FALSE,347,"Subject to Development","El Sitio Feliz (The Happy Place)","203 E. 104th Street","203 E. 104th Street","Manhattan",40.790149,-73.944761,10029,"ROOFTOP",1,11,8,"East Harlem","between 2nd & 3rd Avenue",1990,"MT 6pm-8pm, R 5pm-7am, F 10am-12pm, S 3pm-5pm. Garden is also open whenever a gardener is present.  Closed during inclimate weather.",,"http://www.unionsettlement.org","English, Italian, Japanese, Spanish","Call the phone number on our sign ",20,"Yes","No","El Sitio Feliz is open to the public and includes flower and vegetable beds for local gardeners, a playground, gazebo and a intimate garden amphitheater for Summer Performing Arts Program.","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","HRA","Yes","26-50%","Used by growers",,,"Sold at a Market",,"Tomato",,"Radish",,,"Cucumber",,"Bitter Melon",,,,,"Jalapeño",,,,,,,,,,,,,,,,"Eggplant",,,,,,,,,,,,,,,"The majority of vegetable are grown by community members for cooking in their homes.",,"Arugula",,,"Collard",,,,"Lettuce",,"Spinach",,,1,,3,,,,,,,,,"Basil",,"Chive",,"Cilantro","Dill",,,,,,,,,,,"Parsley","Sage","Thyme",,"Shade Trees","Ornamental Plantings and Flowers","Botanical Garden",,"Native Plant Garden",,,"Yes",,,,"Garden members only",,,,,,,"Seating Area","Gazebo/Casita",,"Raised Beds","Rainwater Catchment System","Pathways","Grill","Playground","Mural","Table(s)",,,,,"Other (please specify)","8 foot fencing",,,,,"Water holes and sprinkler system",,"Workshops","Arts & Crafts",,"Picnics","Performance","Educational Events","Barbecues","Concerts",,"Religious Activities","Private Events",,,,"Yes","Members only (no non-members can rent garden)",,"Reservation only","Reservation & rental fee",,"$25 per hour","Yes","We have five Child care centers that utilize our garden on a regular bases",,,,,"Nothing yet, but we would like to",,"Yes","Garden workshops",,"Educational events",,"performances and celebrations.",,"Yes",
TRUE,621,"This Garden not included in Settlement","El Sol Brillante","522-528 East 12th Street","522-528 East 12th Street","Manhattan",40.728291,-73.980055,10009,"ROOFTOP",1,3,2,"East Village",,,"Weekend/weekdays, as used by members",,,,"pay dues, come to meetings, do community work.",35,"not to be a member, yes for a planting bed","Yes","In one of the LES�s older gardens, the gardeners have established climbing roses which give pleasure to the many passersby.  A row of boxwood bushes and long planting beds are other features of this very communal garden, where neighbors enjoy barbeques on long, hot summer nights. ","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,"Private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,101,"Offer for Preservation","El Sol Brillante Jr.","537 East 12th Street","537 East 12th Street","Manhattan",40.728403,-73.979656,10009,"RANGE_INTERPOLATED",1,3,2,"East Village","Avenue A and Avenue B",1981,,"25 ft. x 80 ft.",,"English","Call the phone number on our sign, or see one of the gardeners and establish contact via email, phone, etc.",2,"No","Yes","An Oasis on East 12th Street between Ave A & Ave B. A mix of everything is grown from vegetables, shrubs, trees, ornamental flowers and bushes.  BBQ area and 2 patio areas for gatherings.","GrowNYC Community Garden Survey 2009/2010","Abandoned Building  ","NYC Dept. of Parks & Recreation","Yes","26-50%","Used by growers",,,,,"Tomato",,,,,"Cucumber",,,,,,,"Jalapeño","Habañero","Cayenne",,,,,,,,,,,,,"Beans","Eggplant","Peas","Scallion",,"Grape",,,,,"Strawberry",,,,"Raspberry","Corn",,,"Arugula",,"Chard",,,"Kale",,"Lettuce",,,"Mesclun",,,,,,,,,,,,,"Basil","Chamomile","Chive",,"Cilantro",,"Echinacea",,,,"Lavender","Lemongrass",,,"Mint","Oregano",,"Sage","Thyme",,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"Yes","Maybe/Uncertain","Yes",,"Garden members only",,,"We had to scale back the food composting since we had a huge rat infestation.","Toolshed",,,"Seating Area","Gazebo/Casita","Educational Signs","Raised Beds",,"Pathways","Grill",,"Mural","Table(s)",,,,,"Chain Link",,,,,,"none","crumbling timbers that support raised beds in severe need of repair or replacement.  We are working towards obtaining funding to replace timbers with retaining wall bricks.  Pathways need repair sinking due to water and tree roots.",,,,"Picnics",,,"Barbecues",,,,"Private Events",,,"Our garden is rather small and isn't equipped to handle large groups.","No",,,,,,,"No",,,,,,,,"No",,,,,,,"No","We are interested in developing rain water cachement system to utilize the rainwater for watering the garden.  We also need help in obtaining funding for the replacement of the rotten timbers along the walkways, with retaining wall blocks.  This is a major project that will require a lot of manpower and we could certainly use some volunteers to help us tackle this daunting project."
TRUE,322,"Offer for Preservation","Elizabeth Langley Memorial Garden","121-123 W. 137th Street","121-123 W. 137th Street","Manhattan",40.816140,-73.941074,10030,"ROOFTOP",1,10,9,"Harlem",,,"M-Sun 9:00am-3:00pm",,,,"speak to contact person",15,"no","no","No description available",,,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,663,"Offer for Preservation","Elton Street Block Association","585 Elton Street","585 Elton Street","Brooklyn",40.668625,-73.881834,11208,"ROOFTOP",3,5,42,"East New York",,,"Mon-Sat: 9-9PM",,,"Spanish","attend a meeting and speak to contact person",40,"No","No","No description available",,,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,5097,"This Garden not included in Settlement","ENY Success Garden","449-461 Williams Avenue/ 470 Alab","461 Williams Ave","Brooklyn",40.664556,-73.897431,11207,"Fixed by Eric",3,5,42,"East New York",,,"M-F: 9-5PM",,,,"Attend Meetings,",0,"No","No","No description available",,,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,1330,"This Garden not included in Settlement","Essex Street Community Garden","3030 Fulton St.","3030 Fulton St.","Brooklyn",40.680267,-73.882970,11208,"ROOFTOP",3,5,37,"East NY","Fulton Street",1999,"MTWRF 9am-6pm. Sat and Sun some gardeners are there from 8:30am until sundown.","3232 sq. ft. ","http://www.nyrp.org/communitygarden","English, Spanish","Call the phone number on our sign, sign up on website",11,"No","No","NEEDS MORE MEMBERS!","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","NYRP","Yes","76-100%","Used by growers",,,,,"Tomato","Onion","Radish","Summer Squash",,,,,,,,,"Jalapeño",,,,,,,,"Potato",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collard",,,,,,,,,,,,,,,,,,,,"Basil",,"Chive",,"Cilantro","Dill",,,,,,,,,,,"Parsley","Sage",,,,"Ornamental Plantings and Flowers",,"Shrubs",,,,"No","No","Maybe/Uncertain",,"Garden members only",,,,,,,,,,"Raised Beds",,,,,,,,,,,"Chain Link",,,,,,,,,,,,,,,,,,,,"None",,"Yes",,"Members and non-members",,,,,"No",,,,,,"Nothing yet, but we would like to",,"No",,,,"Nothing yet, but we would like to",,,"Yes",
TRUE,276,"Offer for Preservation","Euclid 500 Block Association","532 Euclid Avenue","532 Euclid Avenue","Brooklyn",40.674122,-73.871614,11208,"RANGE_INTERPOLATED",3,5,42,"East New York",,,"W 4:00-7:00pm, Sat 2:00-6:00pm, Sun 5:00-8:00pm",,,,"attend a meeting, speak to contact person and work a certain number of hours",8,"No","yes","This group gardens 100% organically with a wide variety of vegetables. They have running water, electricity, a stereo, a basketball court for night play, and a huge mural painted by the kids. They keep the garden open all year round with a food pantry on Saturdays, children's workshops, church services with a live band and an annual senior citizens day. ","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,9,"This Garden not included in Settlement","Euclid and Pine Block Association","Pine St. and DuMont Ave.","Pine St. & DuMont Ave","Brooklyn",40.669934,-73.869602,11208,"Fixed by Eric",3,5,42,,,,"T, Sat (5 hours)",,,,"attend a meeting, get on waiting list and speak to contact person",0,"yes","no","In 1981 neighbors came together to turn this small corner lot in East New York into a thriving community farm.  Today the garden boasts harvests of fresh vegetables from tomatoes to collard greens, as well as fresh cherries, pears and flowers.  Membership is mostly made up of senior citizens, many of whom have lived in the neighborhood since they were children.  Last year a new gazebo was built to shelter neighborhood gatherings.  Children from local PS 242 visit the garden to help with clean up activities and to learn about planting vegetables and fruits. ","Neighborhood Treasures for Sale 115 Community Gardens for Sale at New York City Public Auction, May 13, 1999.",,"TPL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,966,"Subject to Development","Family and Friends","Rockaway Avenue, S/E/C Riverdale Ave.","Rockaway Ave & Riverdale Ave","Brooklyn",40.661021,-73.908519,11212,"Fixed by Eric",3,16,42,"Brownsville",,,"M-F 9:30-2:30pm",,,,"attend a meeting and speak to contact person",0,"no","yes","The garden has twenty different fruit trees along with a grape vine. The special tree is a Weeping Willow and they have a lovely rosebush. They hold anniversary cookouts and birthday parties. School kids come for workshops.","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,767,"This Garden not included in Settlement","Family Garden","431 E. 114th Street","431 E. 114th Street","Manhattan",40.794273,-73.934774,10029,"ROOFTOP",1,11,8,"East Harlem","between 1st and Pleasant Ave","Unknown","RFS 8am-1pm. Also whenever members are inside, usually 7am to 4 or 5pm Monday, Tuesday, and Wednesday.","2,500-square-ft","http://www.nyrp.org/Parks_and_Gardens/Community_Gardens.aspx","English","Call the phone number on our sign ",22,"No",,"Many school teachers eat their lunch in the garden","GrowNYC Community Garden Survey 2009/2010","Used by boy scouts","NYRP","No","0-25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Basil","Chamomile",,,,,,,,,,,,,,,,,,,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"No","No","No",,,,,,,,,"Seating Area","Gazebo/Casita",,,,,,,,"Table(s)",,,,,"Iron",,,,,,,,"Workshops","Arts & Crafts",,"Picnics",,,,,,,"Private Events",,,,"Yes",,"Members and non-members",,,,"$1,500/8 hour day (it may be prorated)","No",,,,,,,,,,,,,,,"No",
FALSE,5077,,"Family Group Garden","419 East 158th Street","419 East 158th Street","Bronx",40.822223,-73.913783,10451,"ROOFTOP",2,1,17,"Melrose","new lots ave/hegaman",1982,,,,,,0,,,"Moved from there old location on 317 E. 158th Street Between Park Ave. and Courtlandt Ave.  to this new location.","GrowNYC Community Garden Survey 2009/2010",,"NYC Dept. of Parks & Recreation","Yes","76-100%","Used by growers","Donated",,,"alot of times people pass by the garden and ask if they can have anything and we give them what they ask for free","Tomato","Onion","Radish","Summer Squash",,"Cucumber","Broccoli",,"Beet",,"Cantaloupe","Sweet Peppers",,,,"Turnip","Pumpkin","Carrot","Garlic","Parsnip","Potato",,,"Cabbage","Brussell Sprouts","Cauliflower","Celery","Beans","Eggplant","Peas","Scallion",,"Grape",,,"Blackberry",,"Strawberry",,,"Watermelon",,"Corn","3 different kinds of lettuce and cabbage",,,,,"Collard",,,,"Lettuce",,,,,3,,,1,1,,1,,,,,"Basil",,"Chive",,"Cilantro","Dill",,,,,"Lavender","Lemongrass",,,,"Oregano","Parsley",,,,"Shade Trees",,"Botanical Garden",,,,,"No","Yes","Yes",,"Garden members only",,,,"Toolshed",,,,,,,,"Pathways","Grill",,,,,,,,"Iron",,,"Water Pump",,,"we use to have drums to hold rain water but someone climb the fence and made holes on all three of them","we are thinking of doing something but not sure of what",,,,,,,"Barbecues",,,,,,,,"No",,,,,,,"No",,,,,,,,"No",,,,,,,"No","we have a group of four young men that come around and pick the vegetables once in a while for the gardeners that for whatever reason can not do it"
FALSE,780,"NYC Dept. of Parks & Recreation Open Space","Fantasy Garden","181 Legion Street","181 Legion Street","Brooklyn",40.664361,-73.917169,11212,"RANGE_INTERPOLATED",3,16,41,"Brownsville","Dumont Avenue and Blake Avenue",1992,"MTWRFSSu 8am-6pm",,,"English","Attend garden meetings, speak to someone in the garden",11,"No","Yes","Fantasy Garden is a community based and open green space that is located in the heart of an urban neighborhood in New York City that is known as Brownsville, Brooklyn. This open green space contains a myriad of trees (including apples, cherries, peaches, nectarines, and plums), as well as golden raspberries, five types of grapes, herbs, shrubs, and other plant material. All of the above exist in a park-like setting. The garden serves as a sanctuary for our resident ducks and guineafowl (Freckles) and also other wildlife. This sanctuary helps to protect the community from exposure to airborne toxins and chemicals. It is also a learning center that is used to educate the public regarding the importance of trees and open green for the well-being of a community. Fantasy Garden has more to offer the community and society than just a place for children to play or residents to socialize. We offer a healthy, chemical-free oasis that is essential to the growth and preservation of Brownsville, Brooklyn and all of the residents; most importantly our future generations.","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","NYC Dept. of Parks & Recreation","Yes","26-50%","Used by growers",,,,"Distributed to neighborhood families as well as passersby","Tomato","Onion",,"Summer Squash",,"Cucumber",,,,,"Cantaloupe","Sweet Peppers","Jalapeño",,"Cayenne",,,,,,"Potato",,,,,,,"Beans","Eggplant",,"Scallion",,"Grape",,,,,,,,,,"Corn","Golden raspberries, cranberry, tabasco",,"Arugula",,,"Collard",,"Kale",,"Lettuce",,"Spinach",,,3,3,4,,,,1,1,,,1,"Basil",,,,"Cilantro",,"Echinacea",,,,"Lavender",,,"Marjoram","Mint","Oregano",,"Sage","Thyme","Bunching onions, rosemary","Shade Trees","Ornamental Plantings and Flowers","Botanical Garden","Shrubs",,,,"Yes",,,,"Garden members only",,,,,,,"Seating Area","Gazebo/Casita","Educational Signs","Raised Beds","Rainwater Catchment System","Pathways","Grill",,"Mural","Table(s)",,,,,"Chain Link",,"Pond",,,,,,"Workshops","Arts & Crafts",,"Picnics",,,"Barbecues",,,,,,,"Annual Unity in the Community Day","No",,,,,,,"No",,,,,,,,"No",,,,"Nothing yet, but we would like to",,,"Yes",
TRUE,748,"NYC Dept. of Parks & Recreation Open Space","Farm in the Bronx / P.S. 59 - ""Thomas W. Cooke""","2171-2173 Bathgate Avenue","2171-2173 Bathgate Avenue","Bronx",40.852425,-73.893852,10457,"RANGE_INTERPOLATED",2,6,15,"Tremont",,,"M-F 9:00am-11:00am",,,,"speak to the contact person",30,"no","no","No description available",,,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,659,"Offer for Preservation","Farmers Garden","1897-1905 Bergen Street","1897-1905 Bergen Street","Brooklyn",40.674593,-73.918100,11233,"ROOFTOP",3,16,41,,,,"M-Sat 11:00am-4:00pm",,,,"speak to contact person",5,"no","no","No description available",,,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,263,,"Farr Community Garden",,,"Brooklyn",40.678356,-73.926521,,"Fixed by Eric (9/8)",3,3,41,,"Buffalow Ave. and Rochester Ave.",2009,"MRF 12pm-2pm. Open weekends, unspecified hours.",,,"English","Attend garden meetings, ","27 (20 are voting members)","Yes","Yes","This garden created a natural envrionment for every level of learning. Whether indoors or outdoors in the fresh air, we teach our community to eat fresh vegetables on the spot, in the home. Discussion of the best nutritional value you can receive from the garden. We have no doubts that the joy of experiencing nature will enhance and develop skills/knowledge that will lead to healthy eating lifestyles which will help to create a beautiful oasis in the neighbourhood. Due to the recession especially, we believe in reinvesting into this community.","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","NYC Dept. of Parks & Recreation","Yes","51-75%",,"Donated",,,,"Tomato","Onion",,,,"Cucumber",,,,,"Cantaloupe","Sweet Peppers","Jalapeño",,"Cayenne","Turnip",,"Carrot",,,,,,"Cabbage",,,"Celery","Beans","Eggplant",,,,,,,,,,,,,,"Corn",,,,,,"Collard",,,,"Lettuce",,"Spinach",,,,,1,,,,,,,,,"Basil",,,,,,,,,,,,,,"Mint","Oregano","Parsley",,"Thyme",,,,,"Shrubs",,,,"Yes",,,,,"Garden members & neighborhood residents",,,"Toolshed",,,"Seating Area",,,"Raised Beds",,,"Grill",,,,,,,,"Chain Link",,,,,,,,,"Arts & Crafts","Movies",,,,"Barbecues",,,,,,,,"No",,,,,,,"No",,,,,,"Nothing yet, but we would like to",,"No",,,,"Nothing yet, but we would like to",,,"No",
FALSE,700,"NYC Dept. of Parks & Recreation Open Space","Fifth Street Slope Children's Garden","626-27 E. 5th Street","626-27 E. 5th Street","Manhattan",40.727708,-73.991201,10003,"RANGE_INTERPOLATED",1,3,2,"East Village","Avenues B and C",1988,"MTWRFSSu 10am-6pm","A lot big enough to hold an average NYC apartment building.",,"Chinese, English, Spanish","Call the phone number on our sign ",30,"No","Yes","The garden's held on for nearly 20 years. It was bigger, then smaller, then bigger again, and now takes up a whole lot. It was often attacked in the past, plants destroyed, by those wanting to keep it a parking lot. It serves a very diverse community, and our board and membership are also diverse. The Slope is one of the few things in the area to have been beautified without local communities being pushed out of the process. Much in the area has been gentrified, meaning working people and communities of color have been excluded and victimized by the changes. This has not been the case with the evolution of the Slope. Ours is a very open and democratic culture.","GrowNYC Community Garden Survey 2009/2010","Abandoned Building,  Vacant Lot - Going back say 30 years, it was marsh land. They say there was building there, then it was a lot.","NYC Dept. of Parks & Recreation","Yes","0-25%","Used by growers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grape",,,,,,,,,,,"We have a huge cherry tree that's ancient and bears fruit. Everyone on the block eats the fruit. We also have small fruit trees, apples and pears.",,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"We had an herb garden last season, but this year there are no greens.","Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"No","No","Maybe/Uncertain",,,,,,"Toolshed",,,"Seating Area",,,,,"Pathways","Grill",,,"Table(s)",,,,"We have a large brick area at the front of the garden that is used for parties and gatherings.","Chain Link",,,,,,,"We were renovated in recent years, so our structures are in good shape, and we work to keep them painted every 2-3 years.",,,"Movies","Picnics",,,"Barbecues",,,,,,,"We are starting our film series in a couple of weeks. We are planning concerts for next season.","Yes",,"Members and non-members",,"Reservation & rental fee",,"$100 for the average party. Weddings and other more formal events we'd charge more for.","No",,,,,,"Nothing yet, but we would like to",,"No",,,,,,,"No","We keep our membership fees low so the community feels welcomed. We are this month applying for our first grant to get a film projector so we can have a film series for kids and adults every season. We hope to apply for other grants as well, to fix our fence and front gate. We are thinking about arts and crafts days for children next summer, like the city used to have on the block."
TRUE,94,"NYC Dept. of Parks & Recreation Open Space","Firemens Memorial Garden Inc.","358-364 E. 8th Street","358-364 E. 8th Street","Manhattan",40.724263,-73.977996,10009,"ROOFTOP",1,3,2,"East Village",,,"M-Sun 10:00am-7:00pm",,,,"Meet Contact at Garden,",100,"No","No","The garden is a memorial for fallen firefighters.  People come just to sit, have lunch, read the newspaper, or to admire the flowers.  They hold birthday parties, as well as 4th of July, Memorial Day, and Labor Day celebrations.","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,151,"Offer for Preservation","First Quincy Street Community Garden","397-401 Quincy St.","397-401 Quincy St.","Brooklyn",40.687916,-73.944248,11221,"ROOFTOP",3,3,36,"Bedford Stuyvesent","Tomkin and Throop Avenues",2001,"MTWR 3pm-5pm, F 2pm-4pm, Su 12pm-3pm","5500 sq ft",,"English, Spanish","Complete application form",10,"No","No","First Quincy Street GreenThumb garden is a three lot open space venue located in the historic section of Bedford-Stuyvesant, in Central Brooklyn. While the garden traces its origins as a GreenThumb garden back to 1981, it is beginning its third season of an extensive preservation and revitalization program that has transformed a blighted and deteriorating space into an attractive oasis of flowers, vegetables, shrubs, fruit bearing trees, and garden beds and furnishings. The garden serves a diverse poplation in transition, consisting of native born New Yorkers, migrants from across the country, and immigrants, primarily from the Caribbean, all of whom reflect a microcosm of Central Brooklyn. These residents span the ages from seniors to infants and represent the able bodied and the mentally and physically disabled. They also comprise the gamut of socio-economic strata from middle class professionals, skilled technicians, service workers, the working poor, and the indigent. The garden built itself around partnering and existing community agencies and organization to bring people and resources together and to design and develop an environmentally attractive and sound green open space.","GrowNYC Community Garden Survey 2009/2010","Vacant Lot","NYC Dept. of Parks & Recreation","Yes","26-50%","Used by growers","Donated",,,,"Tomato",,,"Summer Squash",,"Cucumber","Broccoli",,"Beet",,,,,,,,,,,,,,,"Cabbage",,,,"Beans","Eggplant",,,,,,,,,,,,,,,,,,,,"Collard",,,,"Lettuce",,"Spinach",,,1,1,1,,,1,,,,,,"Basil",,,,,"Dill",,,,,,,,,,,"Parsley",,"Thyme",,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"Yes",,,,"Garden members only",,,,"Toolshed",,,,"Gazebo/Casita",,"Raised Beds","Rainwater Catchment System","Pathways",,,"Mural","Table(s)",,,,"911 Firemen's memorial monument and memorial bench for deceased garden members","Chain Link",,,,,,,,"Workshops","Arts & Crafts",,,,"Educational Events","Barbecues",,,,,,,"Annual spring clean-up and cook-out, annual membership drive campaign, 2009 Summer lunch ""Nutritional Snack Pack Substitutes: Bridging the Gap between Deprivation and Hunger""","Yes","Members only (no non-members can rent garden)",,,,,,"No",,,,,,"Nothing yet, but we would like to",,"No",,,,"Nothing yet, but we would like to","Not at present, but is exploring the possibility of doing so with the local Interagency Council of the Aging.",,"No","While our garden has an impressive membership roster, we only have a handful of members that are hands-on. Most of these members are seniors and diminishing in productivity. Like most gardens there seems to be a disconnect between the generations. This is an area in which we believe CENYC can play a significant role and the NYC GreenThumb Program."
